Name,Type,Size,Armor,Hit Points,Move Burrow,Move Climb,Move Fly,Move Swim,Move Walk,Stat Str,Stat Dex,Stat Con,Stat Int,Stat Wis,Stat Cha,Save Str,Save Dex,Save Con,Save Int,Save Wis,Save Cha,Blind Sight,Dark Vision,Tremorsense,True Sight,Immune Acid,Immune Bludgeoning,Immune Cold,Immune Fire,Immune Force,Immune Lightning,Immune Necrotic,Immune Piercing,Immune Poison,Immune Psychic,Immune Radiant,Immune Slashing,Immune Thunder,Resist Acid,Resist Bludgeoning,Resist Cold,Resist Fire,Resist Force,Resist Lightning,Resist Necrotic,Resist Piercing,Resist Poison,Resist Psychic,Resist Radiant,Resist Slashing,Resist Thunder,Cause Blinded,Cause Charmed,Cause Deafened,Cause Frightened,Cause Grappled,Cause Incapacitated,Cause Invisible,Cause Paralyzed,Cause Petrified,Cause Poisoned,Cause Prone,Cause Restrained,Cause Stunned,Cause Unconscious,Multiattack,Spellcasting,Damage Tags,Spellcasting Tags,Trait Tags,Elo Rank
Ahmaergo,humanoid,2,18,143,0,0,0,0,25,20,15,14,15,14,12,9,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"P,S",,,2762
Ammalia Cassalanter,humanoid,2,15,45,0,0,0,0,30,9,14,11,17,12,15,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B,CW,,1957
Awakened Rat,beast,0,10,1,0,0,0,0,20,2,11,9,10,10,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,,Keen Senses,-1625
Barnibus Blastwind,humanoid,2,13,24,0,0,0,0,30,9,10,9,17,15,11,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P,CW,,-468
Bepis Honeymaker,humanoid,1,10,4,0,0,0,0,25,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,-1710
Black Viper,humanoid,2,16,84,0,0,0,0,30,11,18,14,11,11,12,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,P,,Sneak Attack,1984
Davil Starsong,humanoid,2,15,82,0,0,0,0,30,10,14,12,16,12,17,0,5,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,P,CB,Fey Ancestry,1467
Dining Table Mimic,monstrosity,3,12,75,0,0,0,0,15,17,12,15,5,13,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"A,B,P",,"False Appearance,Shapechanger",1957
Drow Gunslinger,humanoid,2,18,84,0,0,0,0,30,13,18,14,11,13,14,0,6,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"I,P",I,"Fey Ancestry,Sunlight Sensitivity",1505
Durnan,humanoid,2,16,144,0,0,0,0,30,18,15,18,13,12,10,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"P,S",,,2746
